,store_nm,store_id,store_addr_line2_txt,store_city_nm,store_state_id,store_zip5_id,upc_id,upc_dsc,category_nm,Ranged w/o image on 8.12,exclude?,Rank
35455,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,28114400000,BEEF PETITE SIRLOIN BCN WRPD,SERVICE MEAT,Yes,No,387
35662,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,23000100000,SWAI FILLET PREVIOUSLY FROZEN,SERVICE SEAFOOD,Yes,No,389
36481,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,60610511270,TOMATOES GRAPE TRUE REBEL MIX,TOMATOES,Yes,No,397
36821,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,22909600000,4 CT LEMON POPPY MUFFINS,ISB BREAKFAST BAKED GOODS,Yes,No,403
39258,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,21347800000,D&W HAM VIRGINIA LITE PINEAPPLE,DELI MEAT,Yes,No,420
39777,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,22745400000,CUPCAKES WHITE W/VANILLA ICING 9CT,ISB DESSERTS,Yes,No,421
39968,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,26619800000,MUFFINS BLUEBERRY 4 CT,ISB BREAKFAST BAKED GOODS,Yes,No,422
40556,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,2544410001,HC JBO A HER,SHELL EGGS,Yes,No,427
40687,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,64655500117,BEAN SPROUTS,SPROUTS CONVENIENCE,Yes,No,431
41266,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,22972200000,4 CT RAISIN BRAN MUFFIN,ISB BREAKFAST BAKED GOODS,Yes,No,434
41766,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,20349900000,PORK HOCKS SMKD,SMOKED BEEF AND PORK,Yes,No,438
42319,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,20014900000,HS WHITE TURKEY BREAST WHOLE BI FROZEN,"TURKEY, FROZEN",Yes,No,443
43891,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,3967707008,BREAD SOURDOUGH LONG,ISB MAIN MEAL LOAVES,Yes,No,462
45217,SAFEWAY                  ,250,4752 EAST SUNRISE DRIVE                 ,TUCSON              ,AZ,85718,82486202015,TF CAULIFLOWER PEARLS,CONVENIENCE VEGETABLES,Yes,No,483
20794,ALBERTSONS               ,2994,5630 N. DESERT BLVD.                    ,EL PASO             ,TX,79912,24223200000,POTATOES BAKING,CONVENIENCE VEGETABLES,Yes,No,228
21271,ALBERTSONS               ,2994,5630 N. DESERT BLVD.                    ,EL PASO             ,TX,79912,20170500000,BEEF SOUP BONE,VARIETY MEATS,Yes,No,232
22414,ALBERTSONS               ,2994,5630 N. DESERT BLVD.                    ,EL PASO             ,TX,79912,21528100000,RESERS SALAD MACARONI ELBOW,FULL SERVICE DELI SALADS,Yes,No,249
35352,ALBERTSONS               ,2994,5630 N. DESERT BLVD.                    ,EL PASO             ,TX,79912,21531300000,RESERS SALAD POTATO DEVILED EGG,FULL SERVICE DELI SALADS,Yes,No,385
